 scheme_name,eligible_criteria,benefits,application_link,linked_SDG,linked_jobs
PMKVY (Pradhan Mantri Kaushal Vikas Yojana),"14-45 years, basic education",Free training + certification + placement assistance,https://www.pmkvyofficial.org,SDG8,"Solar Technician, Agriculture Technician, Electrician"
DDU-GKY (Deen Dayal Upadhyaya Grameen Kaushalya Yojana),"Rural youth, 15-35 years",Free training + stipend + placement,https://ddugky.gov.in,SDG1,"All technical and skilled jobs"
NSDC Skill India,"All Indian citizens",Subsidized training courses,https://www.skillindia.gov.in,SDG8,"Solar Technician, Digital Marketing, Healthcare"
NRLM (National Rural Livelihood Mission),"Rural women, below poverty line",Skill training + financial support,https://aajeevika.gov.in,SDG1,"Handicrafts, Tailoring, Food Processing"
Apprentice Scheme,"18+ years, relevant education",Stipend + on-job training,https://apprenticeshipindia.gov.in,SDG8,"All technical jobs"
NULM (National Urban Livelihoods Mission),"Urban poor, especially women",Skill training + self-employment support,https://nulm.gov.in,SDG11,"Retail, Hospitality, Beauty Services"
PMEGP (Prime Minister's Employment Generation Programme),"18+ years, minimum 8th pass",Credit-linked subsidy for business,https://www.kviconline.gov.in/pmegp,SDG8,"Entrepreneurship, Small Business"
Startup India Seed Fund Scheme,"DPIIT recognized startups",Financial assistance for startups,https://www.startupindia.gov.in,SDG9,"Startups, Innovation, Technology"
Pradhan Mantri MUDRA Yojana,"Small business owners, entrepreneurs",Loan assistance for small businesses,https://www.mudra.org.in,SDG8,"Small Business, Retail, Services"
Stand-Up India Scheme,"SC/ST and women entrepreneurs",Bank loans for greenfield enterprises,https://www.standupmitra.in,SDG10,"Manufacturing, Services, Trading"
Pradhan Mantri Rojgar Protsahan Yojana,"All employers in formal sector",Government pays employer's EPS contribution,https://www.epfindia.gov.in,SDG8,"Formal Sector Jobs"
National Apprenticeship Promotion Scheme,"18+ years, relevant qualifications",Stipend support to employers,https://apprenticeshipindia.gov.in,SDG4,"Technical, Engineering, Graduate"
Green Skill Development Programme,"Youth interested in environment",Training in environment and forest sectors,https://gsdp-envis.gov.in,SDG13,"Forest Guard, Pollution Controller, Eco-Tourism"
Pradhan Mantri Kisan SAMPADA Yojana,"Farmers, food processors",Infrastructure for food processing,https://mofpi.nic.in,SDG2,"Food Processing, Agriculture"
Digital India Internship Scheme,"College students, graduates",Stipend + government internship,https://www.digitalindia.gov.in,SDG9,"IT, Digital Literacy, E-Governance"
Pradhan Mantri Gramin Digital Saksharta Abhiyan,"Rural households, 14-60 years",Digital literacy training,https://www.pmgdisha.in,SDG4,"Digital Trainer, IT Support"
National Rural Health Mission,"Rural youth with science background",Training for healthcare workers,https://nhm.gov.in,SDG3,"Community Health Worker, Nurse, Midwife"
Pradhan Mantri Ujjwala Yojana,"Women below poverty line",Free LPG connections + training,https://www.pmuy.gov.in,SDG7,"LPG Technician, Safety Trainer"
Solar Rooftop Programme,"Homeowners, institutions",Subsidy for solar installation,https://solarrooftop.gov.in,SDG7,"Solar Installer, Maintenance Technician"
Pradhan Mantri Awas Yojana,"Economically weaker sections",Housing subsidy + skill training,https://pmay-urban.gov.in,SDG11,"Mason, Electrician, Plumber, Painter"
Pradhan Mantri Matsya Sampada Yojana,"Fishermen, aquaculture farmers",Subsidy for fisheries infrastructure,https://www.pmmsey.gov.in,SDG14,"Fisheries, Aquaculture, Processing"
Textile Sector Skill Initiative,"Youth interested in textiles",Training in textile manufacturing,https://www.texmin.nic.in,SDG9,"Weaver, Textile Designer, Quality Controller"
Pradhan Mantri Kaushal Kendras,"School dropouts, unemployed youth",Skill training centers across India,https://www.pmkvyofficial.org,SDG4,"Multi-skill Training, Vocational Jobs"
National Career Service Portal,"All job seekers",Job matching + career counseling,https://www.ncs.gov.in,SDG8,"All Employment Sectors"
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,"Entrepreneurs, pharmacy graduates",Support for generic medicine stores,https://janaushadhi.gov.in,SDG3,"Pharmacist, Store Manager"
Pradhan Mantri Fasal Bima Yojana,"Farmers, agricultural graduates",Crop insurance + risk management training,https://pmfby.gov.in,SDG2,"Agriculture Insurance Advisor"
Pradhan Mantri Krishi Sinchayee Yojana,"Farmers, water management professionals",Irrigation training + micro-irrigation support,https://pmksy.gov.in,SDG6,"Irrigation Technician, Water Manager"
Pradhan Mantri Van Dhan Yojana,"Tribal communities, forest dwellers",Training for minor forest produce processing,https://trifed.tribal.gov.in,SDG15,"Forest Produce Collector, Processing Technician"
Pradhan Mantri Jan Dhan Yojana,"Unbanked population",Financial literacy + banking access,https://pmjdy.gov.in,SDG1,"Banking Correspondent, Financial Advisor"
Pradhan Mantri Jeevan Jyoti Bima Yojana,"18-50 years with bank account",Life insurance + financial training,https://www.jansuraksha.gov.in,SDG1,"Insurance Agent, Financial Advisor"
Pradhan Mantri Suraksha Bima Yojana,"18-70 years with bank account",Accident insurance + safety training,https://www.jansuraksha.gov.in,SDG3,"Safety Officer, Insurance Agent"
Atal Pension Yojana,"Unorganized sector workers",Pension scheme + financial planning,https://www.jansuraksha.gov.in,SDG1,"Pension Advisor, Financial Planner"
Pradhan Mantri Vaya Vandana Yojana,"Senior citizens 60+ years",Pension scheme + elderly care training,https://www.licindia.in,SDG3,"Elderly Caregiver, Financial Advisor"
Pradhan Mantri Garib Kalyan Yojana,"Below poverty line families",Food security + nutrition training,https://dfpd.gov.in,SDG2,"Nutritionist, Food Security Officer"
Pradhan Mantri Ujjwala Yojana,"Women below poverty line",Free LPG connections + safety training,https://www.pmuy.gov.in,SDG7,"LPG Technician, Safety Trainer"
Pradhan Mantri Sahaj Bijli Har Ghar Yojana,"Unelectrified households",Electricity access + electrical training,https://saubhagya.gov.in,SDG7,"Electrician, Line Man, Utility Worker"
Pradhan Mantri Jan Arogya Yojana,"Economically vulnerable families",Health insurance + paramedical training,https://www.pmjay.gov.in,SDG3,"Health Worker, Insurance Agent"
Pradhan Mantri Shram Yogi Maan-dhan,"Unorganized sector workers 18-40 years",Pension scheme + financial literacy,https://maandhan.in,SDG1,"Social Worker, Financial Advisor"
Pradhan Mantri Laghu Vyapari Maan-dhan,"Small traders, shopkeepers 18-40 years",Pension scheme + business training,https://maandhan.in,SDG8,"Business Advisor, Accountant"
Pradhan Mantri Kisan Maan-dhan Yojana,"Small and marginal farmers 18-40 years",Pension scheme + agricultural training,https://maandhan.in,SDG2,"Agriculture Advisor, Extension Worker"
Pradhan Mantri Matritva Vandana Yojana,"Pregnant women and lactating mothers",Maternity benefit + childcare training,https://wcd.nic.in,SDG3,"Anganwadi Worker, Childcare Provider"
Pradhan Mantri Rashtriya Bal Puraskar,"Exceptional children 5-18 years",Recognition + skill development support,https://www.nca-wcd.nic.in,SDG4,"Child Development Specialist, Teacher"
Pradhan Mantri Yuva Yojana,"Young entrepreneurs 18-30 years",Entrepreneurship education + mentoring,https://www.yuvayojana.com,SDG8,"Business Mentor, Startup Advisor"
Pradhan Mantri Gram Sadak Yojana,"Rural road construction workers",Road construction training + employment,https://pmgsy.nic.in,SDG9,"Road Construction Worker, Supervisor"
Pradhan Mantri Awas Yojana - Gramin,"Rural construction workers",Housing construction training,https://pmayg.nic.in,SDG11,"Mason, Carpenter, Construction Supervisor"
Pradhan Mantri Swasthya Suraksha Yojana,"Medical and paramedical students",Healthcare infrastructure + training,https://www.pmssy-mohfw.nic.in,SDG3,"Doctor, Nurse, Paramedical Staff"
Pradhan Mantri Jan Vikas Karyakram,"Minority communities",Educational infrastructure + skill development,https://www.minorityaffairs.gov.in,SDG4,"Teacher, Skill Trainer, Counselor"
Pradhan Mantri Adarsh Gram Yojana,"SC majority villages",Village development + skill training,https://www.socialjustice.nic.in,SDG1,"Community Developer, Social Worker"
Pradhan Mantri Kisan Samman Nidhi,"All landholding farmer families",Income support + agricultural training,https://pmkisan.gov.in,SDG2,"Agriculture Extension Worker, Advisor"
Pradhan Mantri Rozgar Melas,"Unemployed youth across India",Job fairs + employment opportunities,https://www.dget.nic.in,SDG8,"All Employment Sectors"
National Rural Employment Guarantee Act,"Rural households",100 days employment + skill training,https://nrega.nic.in,SDG1,"Laborer, Supervisor, Accountant"
Pradhan Mantri Kaushal Vikas Yojana 4.0,"Youth 15-45 years",Skill training aligned with industry needs,https://www.pmkvyofficial.org,SDG8,"Industry-relevant Skills"
Pradhan Mantri Digital Seva Kendra,"Rural entrepreneurs",Digital service center establishment,https://www.csc.gov.in,SDG9,"VLE (Village Level Entrepreneur)"
Pradhan Mantri Annadata Aay Sanrakshan Abhiyan,"Farmers and arhtiyas",Price support + agricultural training,https://agriculture.gov.in,SDG2,"Agriculture Marketing, Procurement"
Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan,"Farmers, renewable energy professionals",Solar pump installation + training,https://pmkusum.mnre.gov.in,SDG7,"Solar Technician, Agriculture Engineer"
Pradhan Mantri Innovative Learning Programme,"Outstanding school students",Exposure to innovation + skill development,https://www.education.gov.in,SDG4,"Scientist, Researcher, Innovator"
Pradhan Mantri TB Mukt Bharat Abhiyan,"Health volunteers, community workers",TB eradication + healthcare training,https://tbcindia.gov.in,SDG3,"Community Health Worker, Counselor"
Pradhan Mantri National Dialysis Programme,"Paramedical staff, technicians",Dialysis services + technical training,https://www.nhp.gov.in,SDG3,"Dialysis Technician, Nurse"
Pradhan Mantri Swachh Bharat Abhiyan,"Sanitation workers, volunteers",Sanitation + waste management training,https://swachhbharatmission.gov.in,SDG6,"Sanitation Worker, Waste Manager"
Pradhan Mantri Ayushman Bharat Health Infrastructure Mission,"Healthcare professionals",Health infrastructure + training,https://ab-him.mohfw.gov.in,SDG3,"Doctor, Nurse, Technician"
